titulo,precio
"('Budin Marmolado Dia 160 Gr.',)",$ 1.590
"('Gel Ducha Palta Y Karite Bonte 350 Ml.',)",$ 3.200
"('Mascarilla Capilar Toque de Seda Sedal 300 Gr.',)",$ 3.703
"('Queso Muzzavega Vegano 250 Gr.',)",$ 4.290
"('Galletitas Oreo Rellenas Con Crema Sabor Original 354 Gr.',)",$ 5.650
"('Dulce de Leche Clásico La Serenísima con calcio 400 Gr.',)",$ 3.335
"('Jabon En Barra Dove Original Individual 90 Gr.',)",$ 2.045
